Taxon,Level,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Leptotrichia,genus,0,0,0,0.004659796,0,0.003998442,0,0.020964317,0,0,0.011269359,0,0.009539611,0,0,0.001348232,0,0,0,0.001381295,0,0,0,0,0.010802044,0,0.008288367,0,0,0.014074238,0,0.011509976,0,0,0,0,0,0.013967495,0,0
Leptotrichiaceae,family,0,0,0,0,0.042490155,0,0,0,0,0,0,0,0,0,0,0,0,7.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luteolibacter,genus,0,0,0,0,0,0,0,0,0.00090967,0,0,0,0,0,0,0,0,0,0.004770285,0,0.001654001,0,0,0,0,0,0,0,0.011467517,0,0,0,0,0,0,0,0,0,0,0.011436051
Mesoplasma,genus,0.001038812,0,0,0,0,0,0.001797978,0,0,0.003606563,0.002788161,0,0,0.006811659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011895539,0,0,0,0,0
Mesotoga,genus,0,0.01137091,0,0,0,0,0,0,0.016097786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanomassiliicoccus,genus,0.012716235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002636304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium,genus,0,0,3.07E-05,0.004916384,0,0,0,0.029541798,0,0,0,0,0.014283561,0,0.00567991,0,0,0,0,0.003772535,0,0.05815722,0.005785028,0.028994833,0.006593169,0.013599459,0.01002022,0,0.008353796,0.03649448,0.085933271,0.000146057,0.019731175,0.015249982,0.016562539,0.004712553,0.010777091,0.013118088,0.005838248,0
Methylophilus,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001269296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016577536,0,0,0,0,0,0,0,0,0
Micrococcus,genus,0,0,0,0,0,0,0,0.000364999,0,0,0,0,0.003130623,0,0.010382888,0,0.02279655,0,0,0.000233064,0,0,0,0,0,0,0,0,0,0.006101491,0,0,0.000425288,0,0,0,0.002198684,0,0,0
Microlunatus,genus,0.024168951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonosporaceae,family,0,0,0,0,0,0,0,0,0.010376974,0,0,0,0,0,0,0.00166082,0.006237106,0.000105954,0.001086585,0,0.001784579,0,0,0,0,0,0,0,0.00610171,0,0,0,0,0,0,0,0,0,0,0
Moraxella,genus,0.011165385,0,0,0,0,0,0.013045477,0,0,0,0,0,0,0,0,0,0,0.805490109,0,0,0.559757297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucilaginibacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01503329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
