genus,species,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Brucella,Phyllobacterium_leguminum,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0
Butyricimonas,Butyricimonas_virosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0
Campylobacter,Bacteroides_ureolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0
Campylobacter,Campylobacter_coli,0,0,0.193548387,0.163157895,0,0.315789474,0.1,0,0.137254902,0.068181818,0,0,0.074074074,0.125,0,0,0,0.058823529,0,0.191919192
Campylobacter,Campylobacter_curvus,0,0,0,0.152631579,0,0,0.2,0,0,0.090909091,0,0,0.185185185,0.0625,0,0,0.142857143,0,0,0.111111111
Campylobacter,Campylobacter_gracilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0
Campylobacter,Campylobacter_hyointestinalis,0,0,0.733870968,0.594736842,0,0.263157895,0.566666667,0,0.725490196,0.75,0,0,0.592592593,0.638888889,0,0,0.666666667,0.823529412,0,0.595959596
Campylobacter,Campylobacter_lanienae,0,0,0.072580645,0.089473684,0,0.421052632,0.133333333,0,0.137254902,0.090909091,0,0,0.148148148,0.173611111,0,0,0.19047619,0.117647059,0,0.101010101
Capnocytophaga,Capnocytophaga_genomosp.,0,0,0,0,0.104166667,0,0,0,0,0,0,0.157894737,0,0,0,0,0,0,0,0
Capnocytophaga,Capnocytophaga_gingivalis,0,0,0.634146341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Capnocytophaga,Capnocytophaga_granulosa,0,0,0.365853659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnocytophaga,Capnocytophaga_infantium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Capnocytophaga,Capnocytophaga_leadbetteri,0,0,0,0.620689655,0,0,0,0,0,0,0,0,0,0,0.291139241,0.59375,0,0,0,0
Capnocytophaga,Capnocytophaga_ochracea,0,0.322580645,0,0,0.291666667,0,0,0,0,0,0,0.184210526,0,0,0,0,0,0,0,0
Capnocytophaga,Capnocytophaga_sputigena,0,0.677419355,0,0.379310345,0.604166667,0,1,0,0,0,1,0.657894737,0,0,0.708860759,0.40625,0,0,0,0
Cardiobacterium,Cardiobacterium_hominis,0,0,0,0,1,1,0,1,0,0,0,0.989361702,0,1,0,1,0,0,1,0
Catenibacterium,Catenibacterium_mitsuokai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
